num_date_time,answer
1 2020-08-25 00,8673.645073634654
1 2020-08-25 01,8677.727096019167
1 2020-08-25 02,8670.250643594045
1 2020-08-25 03,8647.579547931113
1 2020-08-25 04,8625.357593649363
1 2020-08-25 05,8611.714246459032
1 2020-08-25 06,8617.465443155994
1 2020-08-25 07,8637.830897710299
1 2020-08-25 08,8658.550361400592
1 2020-08-25 09,8684.69218877532
1 2020-08-25 10,8693.494746153568
1 2020-08-25 11,8705.661465754501
1 2020-08-25 12,8709.413125626883
1 2020-08-25 13,8712.813514042287
1 2020-08-25 14,8723.626115579988
1 2020-08-25 15,8728.364650049563
1 2020-08-25 16,8736.022013402926
1 2020-08-25 17,8733.678076455859
1 2020-08-25 18,8720.301646885397
1 2020-08-25 19,8712.346750711115
1 2020-08-25 20,8707.381147860699
1 2020-08-25 21,8707.374736888656
1 2020-08-25 22,8712.163449108373
1 2020-08-25 23,8714.444980889519
1 2020-08-26 00,8700.379143688855
1 2020-08-26 01,8683.313622873615
1 2020-08-26 02,8667.427298471914
1 2020-08-26 03,8653.575493998136
1 2020-08-26 04,8640.477343418595
1 2020-08-26 05,8628.562721420387
1 2020-08-26 06,8623.013568682461
1 2020-08-26 07,8633.56967675986
1 2020-08-26 08,8655.689497453657
1 2020-08-26 09,8686.829059924683
1 2020-08-26 10,8715.527694330542
1 2020-08-26 11,8731.126946481765
1 2020-08-26 12,8746.744394694173
1 2020-08-26 13,8752.434575913194
1 2020-08-26 14,8762.721859972913
1 2020-08-26 15,8767.234165196667
1 2020-08-26 16,8757.328342532366
1 2020-08-26 17,8734.476732029161
1 2020-08-26 18,8715.631721540147
1 2020-08-26 19,8698.628269502173
1 2020-08-26 20,8696.962668847407
1 2020-08-26 21,8705.666594982338
1 2020-08-26 22,8704.816736910774
1 2020-08-26 23,8693.67469849312
1 2020-08-27 00,8642.555618535824
1 2020-08-27 01,8630.785299829055
1 2020-08-27 02,8626.822758129818
1 2020-08-27 03,8623.018283765832
1 2020-08-27 04,8614.687036154077
1 2020-08-27 05,8597.293141785412
1 2020-08-27 06,8586.396608630634
1 2020-08-27 07,8591.457307083812
1 2020-08-27 08,8601.452096995275
1 2020-08-27 09,8620.552634707932
1 2020-08-27 10,8637.466245858213
1 2020-08-27 11,8650.60340430929
1 2020-08-27 12,8666.96677495241
1 2020-08-27 13,8692.444138419767
1 2020-08-27 14,8722.84577884333
1 2020-08-27 15,8734.045542164755
1 2020-08-27 16,8724.213598584478
1 2020-08-27 17,8704.19272693115
1 2020-08-27 18,8680.567196263062
1 2020-08-27 19,8672.23426199901
1 2020-08-27 20,8667.886477379056
1 2020-08-27 21,8666.819147928663
1 2020-08-27 22,8673.813645100057
1 2020-08-27 23,8673.471908722084
1 2020-08-28 00,8663.34979855258
1 2020-08-28 01,8655.159760868106
1 2020-08-28 02,8650.406494254994
1 2020-08-28 03,8640.661792354702
1 2020-08-28 04,8628.49588857044
1 2020-08-28 05,8616.473446720258
1 2020-08-28 06,8609.715392771324
1 2020-08-28 07,8615.511016365721
1 2020-08-28 08,8628.204893292645
1 2020-08-28 09,8654.094685472257
1 2020-08-28 10,8675.6885300623
1 2020-08-28 11,8692.9728544502
1 2020-08-28 12,8713.776499412596
1 2020-08-28 13,8724.08669435063
1 2020-08-28 14,8742.307127694687
1 2020-08-28 15,8754.421951242748
1 2020-08-28 16,8749.654675006821
1 2020-08-28 17,8731.114117408504
1 2020-08-28 18,8706.012504874638
1 2020-08-28 19,8691.530979104697
1 2020-08-28 20,8678.407346083066
1 2020-08-28 21,8677.326251843233
1 2020-08-28 22,8669.1180066841
1 2020-08-28 23,8657.157519629542
1 2020-08-29 00,8631.849665455265
1 2020-08-29 01,8628.182920740763
1 2020-08-29 02,8626.245806601815
1 2020-08-29 03,8612.359750162424
1 2020-08-29 04,8590.44055773895
1 2020-08-29 05,8571.177844537675
1 2020-08-29 06,8560.335653332053
1 2020-08-29 07,8576.674783066126
1 2020-08-29 08,8603.274241309779
1 2020-08-29 09,8623.35423486627
1 2020-08-29 10,8639.226201545749
1 2020-08-29 11,8653.533179439399
1 2020-08-29 12,8667.883008596842
1 2020-08-29 13,8683.113287769127
1 2020-08-29 14,8686.836580629631
1 2020-08-29 15,8674.344134040584
1 2020-08-29 16,8668.118739175243
1 2020-08-29 17,8667.417906407272
1 2020-08-29 18,8666.68500911211
1 2020-08-29 19,8664.928678499726
1 2020-08-29 20,8649.993292350768
1 2020-08-29 21,8639.318432893459
1 2020-08-29 22,8638.23845157868
1 2020-08-29 23,8648.770930067325
1 2020-08-30 00,8639.73289957394
