num_date_time,answer
1 2020-08-25 00,8667.82019916956
1 2020-08-25 01,8674.2876780689
1 2020-08-25 02,8668.37124931186
1 2020-08-25 03,8646.22849883876
1 2020-08-25 04,8624.085356246378
1 2020-08-25 05,8609.965875449467
1 2020-08-25 06,8615.40691218582
1 2020-08-25 07,8635.369440264227
1 2020-08-25 08,8655.671709581162
1 2020-08-25 09,8682.397000358738
1 2020-08-25 10,8692.950171882147
1 2020-08-25 11,8707.33672885722
1 2020-08-25 12,8713.827732624588
1 2020-08-25 13,8718.38478723706
1 2020-08-25 14,8729.891010785757
1 2020-08-25 15,8734.421103395676
1 2020-08-25 16,8740.233339618551
1 2020-08-25 17,8734.952131972928
1 2020-08-25 18,8718.661080857051
1 2020-08-25 19,8709.19768154114
1 2020-08-25 20,8703.27708489382
1 2020-08-25 21,8704.298718994776
1 2020-08-25 22,8710.421017701474
1 2020-08-25 23,8713.951748615307
1 2020-08-26 00,8690.194773306896
1 2020-08-26 01,8674.579477996054
1 2020-08-26 02,8660.156802684221
1 2020-08-26 03,8646.769329962208
1 2020-08-26 04,8633.830373527166
1 2020-08-26 05,8622.811884601919
1 2020-08-26 06,8617.785232901344
1 2020-08-26 07,8629.906028674894
1 2020-08-26 08,8652.849454727304
1 2020-08-26 09,8684.881069482646
1 2020-08-26 10,8714.46058621272
1 2020-08-26 11,8731.28176000446
1 2020-08-26 12,8749.008905242703
1 2020-08-26 13,8755.317642996208
1 2020-08-26 14,8764.891850345808
1 2020-08-26 15,8768.330571975173
1 2020-08-26 16,8758.318739619677
1 2020-08-26 17,8736.282654838045
1 2020-08-26 18,8717.740953081988
1 2020-08-26 19,8699.97496687474
1 2020-08-26 20,8697.099719752609
1 2020-08-26 21,8704.337728739372
1 2020-08-26 22,8703.502912802056
1 2020-08-26 23,8693.26655834957
1 2020-08-27 00,8639.250757178079
1 2020-08-27 01,8629.323141746683
1 2020-08-27 02,8626.384577202962
1 2020-08-27 03,8622.496453601812
1 2020-08-27 04,8613.882051295559
1 2020-08-27 05,8597.70751300895
1 2020-08-27 06,8586.492280877437
1 2020-08-27 07,8590.677771603125
1 2020-08-27 08,8598.53239844078
1 2020-08-27 09,8615.248207201794
1 2020-08-27 10,8630.311890545361
1 2020-08-27 11,8643.282173245674
1 2020-08-27 12,8659.925178857986
1 2020-08-27 13,8686.012344532293
1 2020-08-27 14,8716.667115045562
1 2020-08-27 15,8727.438536223048
1 2020-08-27 16,8717.840244441028
1 2020-08-27 17,8699.481302923663
1 2020-08-27 18,8677.382415144215
1 2020-08-27 19,8670.402984521525
1 2020-08-27 20,8666.530946200068
1 2020-08-27 21,8665.289198721188
1 2020-08-27 22,8672.28664165721
1 2020-08-27 23,8672.689079107793
1 2020-08-28 00,8655.23769401914
1 2020-08-28 01,8649.27268427577
1 2020-08-28 02,8646.323471404512
1 2020-08-28 03,8637.949602212115
1 2020-08-28 04,8625.725690401607
1 2020-08-28 05,8614.545043999979
1 2020-08-28 06,8607.325827592264
1 2020-08-28 07,8613.09179171372
1 2020-08-28 08,8625.421991585616
1 2020-08-28 09,8650.5978793519
1 2020-08-28 10,8672.455738922685
1 2020-08-28 11,8691.154420764999
1 2020-08-28 12,8712.78928122378
1 2020-08-28 13,8723.024770791664
1 2020-08-28 14,8740.00914238253
1 2020-08-28 15,8750.517569747908
1 2020-08-28 16,8745.587475681863
1 2020-08-28 17,8728.181704277642
1 2020-08-28 18,8703.386258446957
1 2020-08-28 19,8689.115974131595
1 2020-08-28 20,8676.123662360887
1 2020-08-28 21,8674.97206889465
1 2020-08-28 22,8668.086832096566
1 2020-08-28 23,8658.232633335323
1 2020-08-29 00,8627.764938749091
1 2020-08-29 01,8626.16600216935
1 2020-08-29 02,8625.625519606147
1 2020-08-29 03,8612.123608577971
1 2020-08-29 04,8589.679232917111
1 2020-08-29 05,8571.527345370205
1 2020-08-29 06,8560.968020941082
