num_date_time,answer
1 2020-08-25 00,8686.691142003681
1 2020-08-25 01,8665.343839114948
1 2020-08-25 02,8654.759834764396
1 2020-08-25 03,8646.83331866154
1 2020-08-25 04,8637.953049904547
1 2020-08-25 05,8581.704209836316
1 2020-08-25 06,8582.332723321606
1 2020-08-25 07,8640.730400768321
1 2020-08-25 08,8653.158604300563
1 2020-08-25 09,8684.581945097194
1 2020-08-25 10,8707.033067268012
1 2020-08-25 11,8708.121253750109
1 2020-08-25 12,8708.729514602834
1 2020-08-25 13,8731.228170486884
1 2020-08-25 14,8749.843898150753
1 2020-08-25 15,8754.448240008685
1 2020-08-25 16,8758.454332771511
1 2020-08-25 17,8745.341011434215
1 2020-08-25 18,8730.486296808978
1 2020-08-25 19,8733.767479126838
1 2020-08-25 20,8703.201996660728
1 2020-08-25 21,8684.479149410157
1 2020-08-25 22,8697.36157666947
1 2020-08-25 23,8688.694711854452
1 2020-08-26 00,8701.054687412572
1 2020-08-26 01,8662.707019419056
1 2020-08-26 02,8655.73433128372
1 2020-08-26 03,8652.277571180734
1 2020-08-26 04,8649.020247697497
1 2020-08-26 05,8635.26187506735
1 2020-08-26 06,8630.284367744056
1 2020-08-26 07,8644.56106145699
1 2020-08-26 08,8688.503201651181
1 2020-08-26 09,8704.190853251757
1 2020-08-26 10,8739.895629141693
1 2020-08-26 11,8746.893688512033
1 2020-08-26 12,8743.704922785486
1 2020-08-26 13,8752.192675668377
1 2020-08-26 14,8782.855787709583
1 2020-08-26 15,8774.332427822586
1 2020-08-26 16,8752.153408892955
1 2020-08-26 17,8741.782970651993
1 2020-08-26 18,8730.78983548463
1 2020-08-26 19,8731.352568687988
1 2020-08-26 20,8725.147874455124
1 2020-08-26 21,8703.583863748736
1 2020-08-26 22,8700.091907065744
1 2020-08-26 23,8697.22067214635
1 2020-08-27 00,8713.57742149432
1 2020-08-27 01,8714.974904309483
1 2020-08-27 02,8697.998358073713
1 2020-08-27 03,8645.020349727198
1 2020-08-27 04,8653.679203233529
1 2020-08-27 05,8641.511635918967
1 2020-08-27 06,8641.089668682827
1 2020-08-27 07,8656.857680305819
1 2020-08-27 08,8623.241815039199
1 2020-08-27 09,8644.4998596987
1 2020-08-27 10,8681.544916019713
1 2020-08-27 11,8691.511292550133
1 2020-08-27 12,8720.987229153296
1 2020-08-27 13,8767.246018809974
1 2020-08-27 14,8787.598713633928
1 2020-08-27 15,8780.552520475207
1 2020-08-27 16,8776.20419737621
1 2020-08-27 17,8756.527759731685
1 2020-08-27 18,8721.067232987438
1 2020-08-27 19,8724.617293023397
1 2020-08-27 20,8713.288195005256
1 2020-08-27 21,8723.461406737815
1 2020-08-27 22,8740.890387209956
1 2020-08-27 23,8733.636000579698
1 2020-08-28 00,8721.566977959796
1 2020-08-28 01,8704.72626975603
1 2020-08-28 02,8675.216479883356
1 2020-08-28 03,8655.945953247303
1 2020-08-28 04,8632.236066763595
1 2020-08-28 05,8620.16639856589
1 2020-08-28 06,8617.042420056086
1 2020-08-28 07,8627.120536306262
1 2020-08-28 08,8652.497467444577
1 2020-08-28 09,8701.548574158986
1 2020-08-28 10,8728.082942569741
1 2020-08-28 11,8747.145743065004
1 2020-08-28 12,8762.110630123303
1 2020-08-28 13,8770.440909276671
1 2020-08-28 14,8786.124146467655
1 2020-08-28 15,8787.176658134762
1 2020-08-28 16,8780.579448909255
1 2020-08-28 17,8760.221325848364
1 2020-08-28 18,8739.822097005623
1 2020-08-28 19,8736.593578295784
1 2020-08-28 20,8729.429045337138
1 2020-08-28 21,8724.22325568336
1 2020-08-28 22,8688.46373305263
1 2020-08-28 23,8671.05936428544
1 2020-08-29 00,8677.174190638974
1 2020-08-29 01,8690.825768183442
1 2020-08-29 02,8699.810630578213
1 2020-08-29 03,8651.094003565739
1 2020-08-29 04,8606.334447862675
1 2020-08-29 05,8584.856298076924
1 2020-08-29 06,8579.414152362668
1 2020-08-29 07,8592.34762102681
1 2020-08-29 08,8675.348182861868
1 2020-08-29 09,8687.10574823632
1 2020-08-29 10,8706.236669865562
1 2020-08-29 11,8713.137061409676
1 2020-08-29 12,8719.557361803578
1 2020-08-29 13,8748.79505223306
1 2020-08-29 14,8760.912417801763
1 2020-08-29 15,8731.163689697676
1 2020-08-29 16,8732.955085063411
1 2020-08-29 17,8734.474287685898
1 2020-08-29 18,8727.262548896084
1 2020-08-29 19,8725.002859873553
