num_date_time,answer
1 2020-08-25 00,8663.282
1 2020-08-25 01,8680.577
1 2020-08-25 02,8647.976
1 2020-08-25 03,8645.638
1 2020-08-25 04,8598.244
1 2020-08-25 05,8581.914
1 2020-08-25 06,8604.651
1 2020-08-25 07,8640.167
1 2020-08-25 08,8641.608
1 2020-08-25 09,8657.153
1 2020-08-25 10,8715.865
1 2020-08-25 11,8722.3545
1 2020-08-25 12,8685.486
1 2020-08-25 13,8680.412
1 2020-08-25 14,8687.683
1 2020-08-25 15,8697.294
1 2020-08-25 16,8718.343
1 2020-08-25 17,8707.038
1 2020-08-25 18,8698.515
1 2020-08-25 19,8721.659
1 2020-08-25 20,8709.045
1 2020-08-25 21,8717.486
1 2020-08-25 22,8700.592
1 2020-08-25 23,8730.166
1 2020-08-26 00,8725.174
1 2020-08-26 01,8723.961
1 2020-08-26 02,8664.683
1 2020-08-26 03,8628.499
1 2020-08-26 04,8598.032
1 2020-08-26 05,8610.3955
1 2020-08-26 06,8612.249
1 2020-08-26 07,8623.45
1 2020-08-26 08,8660.111
1 2020-08-26 09,8732.919
1 2020-08-26 10,8778.446
1 2020-08-26 11,8759.54
1 2020-08-26 12,8755.239
1 2020-08-26 13,8763.597
1 2020-08-26 14,8770.174
1 2020-08-26 15,8801.47
1 2020-08-26 16,8789.587
1 2020-08-26 17,8772.402
1 2020-08-26 18,8740.626
1 2020-08-26 19,8664.887
1 2020-08-26 20,8692.638
1 2020-08-26 21,8712.834
1 2020-08-26 22,8723.042
1 2020-08-26 23,8655.48
1 2020-08-27 00,8674.017
1 2020-08-27 01,8641.197
1 2020-08-27 02,8629.468
1 2020-08-27 03,8614.079
1 2020-08-27 04,8660.631
1 2020-08-27 05,8626.178
1 2020-08-27 06,8624.779
1 2020-08-27 07,8634.633
1 2020-08-27 08,8618.048
1 2020-08-27 09,8643.664
1 2020-08-27 10,8687.844
1 2020-08-27 11,8680.402
1 2020-08-27 12,8719.145
1 2020-08-27 13,8752.801
1 2020-08-27 14,8795.507
1 2020-08-27 15,8808.179
1 2020-08-27 16,8781.45
1 2020-08-27 17,8764.186
1 2020-08-27 18,8750.803
1 2020-08-27 19,8754.588
1 2020-08-27 20,8700.836
1 2020-08-27 21,8724.899
1 2020-08-27 22,8715.103
1 2020-08-27 23,8724.129
1 2020-08-28 00,8698.701
1 2020-08-28 01,8744.073
1 2020-08-28 02,8689.191
1 2020-08-28 03,8645.319
1 2020-08-28 04,8615.08
1 2020-08-28 05,8598.95
1 2020-08-28 06,8618.959
1 2020-08-28 07,8646.106
1 2020-08-28 08,8665.777
1 2020-08-28 09,8731.085
1 2020-08-28 10,8773.368
1 2020-08-28 11,8787.135
1 2020-08-28 12,8778.105
1 2020-08-28 13,8761.352
1 2020-08-28 14,8749.217
1 2020-08-28 15,8802.042
1 2020-08-28 16,8798.734
