num_date_time,answer
1 2020-08-25 00,8681.712050509703
1 2020-08-25 01,8683.25917888942
1 2020-08-25 02,8673.995533771691
1 2020-08-25 03,8649.330890837558
1 2020-08-25 04,8625.765528739634
1 2020-08-25 05,8612.33577212545
1 2020-08-25 06,8618.884945008012
1 2020-08-25 07,8633.262245459922
1 2020-08-25 08,8648.1459543579
1 2020-08-25 09,8668.885123135866
1 2020-08-25 10,8718.562619868888
1 2020-08-25 11,8669.980446187223
1 2020-08-25 12,8663.233454792968
1 2020-08-25 13,8671.820911499597
1 2020-08-25 14,8686.612822991448
1 2020-08-25 15,8692.075388711739
1 2020-08-25 16,8710.99913864975
1 2020-08-25 17,8718.535790390937
1 2020-08-25 18,8716.09269917346
1 2020-08-25 19,8711.761133659616
1 2020-08-25 20,8710.682031998274
1 2020-08-25 21,8713.48799505077
1 2020-08-25 22,8715.606506786611
1 2020-08-25 23,8716.708711769752
1 2020-08-26 00,8711.756279480971
1 2020-08-26 01,8691.605787908877
1 2020-08-26 02,8673.610491063195
1 2020-08-26 03,8659.316975821584
1 2020-08-26 04,8645.333728613115
1 2020-08-26 05,8632.160001725613
1 2020-08-26 06,8625.651593453415
1 2020-08-26 07,8620.185182122696
1 2020-08-26 08,8627.229088377753
1 2020-08-26 09,8644.925193679821
1 2020-08-26 10,8673.658126083941
1 2020-08-26 11,8689.610830002333
1 2020-08-26 12,8703.680946466877
1 2020-08-26 13,8718.464318401833
1 2020-08-26 14,8738.76456572684
1 2020-08-26 15,8752.795979638735
1 2020-08-26 16,8747.259462423519
1 2020-08-26 17,8727.843601280285
1 2020-08-26 18,8710.05270317024
1 2020-08-26 19,8697.857709203738
1 2020-08-26 20,8701.170721715645
1 2020-08-26 21,8715.583922577036
1 2020-08-26 22,8713.146407457163
1 2020-08-26 23,8699.879644607148
1 2020-08-27 00,8651.116192895935
1 2020-08-27 01,8634.969761253753
1 2020-08-27 02,8627.97638270041
1 2020-08-27 03,8623.65927610971
1 2020-08-27 04,8616.561927307455
1 2020-08-27 05,8598.404137615564
1 2020-08-27 06,8587.486884456099
1 2020-08-27 07,8591.925360639205
1 2020-08-27 08,8602.56106604659
1 2020-08-27 09,8623.043480891925
1 2020-08-27 10,8641.15111408545
1 2020-08-27 11,8652.397747018907
1 2020-08-27 12,8667.776922362282
1 2020-08-27 13,8689.74694863121
1 2020-08-27 14,8718.222830879073
1 2020-08-27 15,8727.039574148936
1 2020-08-27 16,8719.613530996958
1 2020-08-27 17,8699.372212113913
1 2020-08-27 18,8676.061452613745
1 2020-08-27 19,8667.114141887116
1 2020-08-27 20,8662.479411805887
1 2020-08-27 21,8662.764660709028
1 2020-08-27 22,8670.269807382047
1 2020-08-27 23,8668.53918496579
1 2020-08-28 00,8668.264961866216
1 2020-08-28 01,8656.675407538756
1 2020-08-28 02,8649.119567116071
1 2020-08-28 03,8636.746429571092
1 2020-08-28 04,8623.259590387643
1 2020-08-28 05,8609.249490499185
1 2020-08-28 06,8602.080706799537
1 2020-08-28 07,8610.035450934907
1 2020-08-28 08,8624.890467023433
1 2020-08-28 09,8653.151385801364
1 2020-08-28 10,8673.63263832507
1 2020-08-28 11,8687.543925835736
1 2020-08-28 12,8704.944283981577
1 2020-08-28 13,8712.333425723078
1 2020-08-28 14,8730.447414669063
1 2020-08-28 15,8742.381080967518
1 2020-08-28 16,8733.032944154706
1 2020-08-28 17,8708.256469850845
1 2020-08-28 18,8677.768214996999
1 2020-08-28 19,8672.452499722021
1 2020-08-28 20,8667.476620895526
1 2020-08-28 21,8674.64145819421
1 2020-08-28 22,8666.017535410321
1 2020-08-28 23,8651.908211398933
1 2020-08-29 00,8634.559807027306
1 2020-08-29 01,8628.21301460109
1 2020-08-29 02,8625.21308291748
1 2020-08-29 03,8610.623204751662
1 2020-08-29 04,8589.697507294431
1 2020-08-29 05,8568.899356410519
1 2020-08-29 06,8557.761979037881
1 2020-08-29 07,8565.10761400356
1 2020-08-29 08,8583.453643914534
1 2020-08-29 09,8596.775173727769
1 2020-08-29 10,8619.387327691296
1 2020-08-29 11,8638.633872624408
1 2020-08-29 12,8658.533566089834
1 2020-08-29 13,8673.385291334012
1 2020-08-29 14,8677.202307844229
1 2020-08-29 15,8666.980053232772
1 2020-08-29 16,8664.93010938339
1 2020-08-29 17,8667.74997136779
1 2020-08-29 18,8668.793837457413
1 2020-08-29 19,8667.182074206281
1 2020-08-29 20,8650.617540258196
1 2020-08-29 21,8637.377427741625
1 2020-08-29 22,8632.997900471404
1 2020-08-29 23,8640.5637947182
1 2020-08-30 00,8640.021992973547
1 2020-08-30 01,8616.422086966635
1 2020-08-30 02,8593.01351476994
1 2020-08-30 03,8566.25160070738
1 2020-08-30 04,8550.935147428061
1 2020-08-30 05,8540.113253120482
1 2020-08-30 06,8535.645678063516
1 2020-08-30 07,8547.331647500247
1 2020-08-30 08,8557.405532930863
1 2020-08-30 09,8595.194573292854
1 2020-08-30 10,8628.802695747694
1 2020-08-30 11,8661.68056201261
1 2020-08-30 12,8674.787922591728
1 2020-08-30 13,8665.033812519667
1 2020-08-30 14,8665.45039358984
1 2020-08-30 15,8714.268654998898
1 2020-08-30 16,8716.77149996785
1 2020-08-30 17,8710.847714441597
1 2020-08-30 18,8641.13250333049
1 2020-08-30 19,8642.320154518326
1 2020-08-30 20,8647.1630588115
1 2020-08-30 21,8647.686981566349
1 2020-08-30 22,8624.203614330127
1 2020-08-30 23,8595.278992974796
1 2020-08-31 00,8612.317449059821
1 2020-08-31 01,8586.506987785002
1 2020-08-31 02,8575.320339141623
1 2020-08-31 03,8563.957059959434
1 2020-08-31 04,8555.335134065595
1 2020-08-31 05,8543.008469576285
1 2020-08-31 06,8537.882646995433
1 2020-08-31 07,8554.059086223002
1 2020-08-31 08,8579.013885751085
1 2020-08-31 09,8610.997300252413
1 2020-08-31 10,8637.25720163664
1 2020-08-31 11,8658.181791571014
1 2020-08-31 12,8669.463178501554
1 2020-08-31 13,8671.762532213233
1 2020-08-31 14,8687.83788635987
1 2020-08-31 15,8697.499171732627
1 2020-08-31 16,8697.005826506242
1 2020-08-31 17,8682.97857702339
1 2020-08-31 18,8666.710485118661
1 2020-08-31 19,8657.212735893909
1 2020-08-31 20,8651.173602276867
1 2020-08-31 21,8658.06105493746
1 2020-08-31 22,8663.332685878055
1 2020-08-31 23,8665.004909962438
2 2020-08-25 00,1138.317254888054
2 2020-08-25 01,1139.7013458667195
2 2020-08-25 02,1140.507733316278
2 2020-08-25 03,1134.1944566939771
2 2020-08-25 04,1139.9591656605605
2 2020-08-25 05,1138.6724679674242
2 2020-08-25 06,1221.0467941994482
2 2020-08-25 07,1576.7893564481274
2 2020-08-25 08,1958.141528634242
2 2020-08-25 09,1990.6942970312818
2 2020-08-25 10,1971.5089920786565
2 2020-08-25 11,1999.4267577172802
2 2020-08-25 12,2059.0213044117436
2 2020-08-25 13,2054.6760476072013
2 2020-08-25 14,2024.6968202383462
2 2020-08-25 15,2093.0987731499563
2 2020-08-25 16,2046.0562266750337
2 2020-08-25 17,1917.059056965442
2 2020-08-25 18,1621.6299049430029
2 2020-08-25 19,1443.5276035958664
2 2020-08-25 20,1299.470824889491
2 2020-08-25 21,1207.9866231577203
2 2020-08-25 22,1174.5030538141345
2 2020-08-25 23,1181.675192541467
2 2020-08-26 00,1146.0074229720465
2 2020-08-26 01,1147.6458354327722
2 2020-08-26 02,1137.853298710064
2 2020-08-26 03,1136.733282177151
2 2020-08-26 04,1135.7159212343483
2 2020-08-26 05,1133.2702689865105
2 2020-08-26 06,1262.4214403066046
2 2020-08-26 07,1620.5717099419746
2 2020-08-26 08,1981.841173665923
2 2020-08-26 09,2104.3032210432375
2 2020-08-26 10,2083.494852118515
2 2020-08-26 11,2092.3230626856302
2 2020-08-26 12,2138.910238097308
2 2020-08-26 13,2139.1999430134
2 2020-08-26 14,2125.097873272437
2 2020-08-26 15,2107.311007380272
2 2020-08-26 16,2097.496789433054
2 2020-08-26 17,1984.5402851571814
2 2020-08-26 18,1684.9181444171898
2 2020-08-26 19,1451.7702088418202
2 2020-08-26 20,1295.0848425891577
2 2020-08-26 21,1237.1736572454038
2 2020-08-26 22,1190.3577398489645
2 2020-08-26 23,1212.9837270961796
2 2020-08-27 00,1162.077487137917
2 2020-08-27 01,1149.621077120064
2 2020-08-27 02,1128.7012936732167
2 2020-08-27 03,1130.9436604842522
2 2020-08-27 04,1120.2171129902
2 2020-08-27 05,1098.2399266760963
2 2020-08-27 06,1234.1799284209685
2 2020-08-27 07,1656.538282463842
2 2020-08-27 08,2004.1955570073271
2 2020-08-27 09,2074.8946887758175
2 2020-08-27 10,2103.5209118367184
2 2020-08-27 11,2095.1630128846664
2 2020-08-27 12,2099.2542557424613
2 2020-08-27 13,2076.4938192061727
2 2020-08-27 14,2054.697420149263
2 2020-08-27 15,2080.7396667721905
2 2020-08-27 16,2029.9906181627787
2 2020-08-27 17,1886.7085619565175
2 2020-08-27 18,1531.2364766476444
2 2020-08-27 19,1333.4259971768272
2 2020-08-27 20,1223.857298883492
2 2020-08-27 21,1160.6897760653633
2 2020-08-27 22,1111.8979298944043
2 2020-08-27 23,1097.887616855755
2 2020-08-28 00,1059.0108726816259
2 2020-08-28 01,1070.5889341494942
2 2020-08-28 02,1066.4304311711865
2 2020-08-28 03,1044.4161913439104
2 2020-08-28 04,1043.7696658899215
2 2020-08-28 05,1032.9464117574598
2 2020-08-28 06,1166.0457315702206
2 2020-08-28 07,1512.6196880940245
2 2020-08-28 08,1903.064804514561
2 2020-08-28 09,1986.8962265799566
2 2020-08-28 10,1948.6010123249623
2 2020-08-28 11,1965.2315827862406
2 2020-08-28 12,1904.2777962817895
2 2020-08-28 13,1895.5828258690242
2 2020-08-28 14,1874.255263102543
2 2020-08-28 15,1981.5364710684732
2 2020-08-28 16,1973.7671930182426
2 2020-08-28 17,1829.4583988803715
2 2020-08-28 18,1643.6985721687731
2 2020-08-28 19,1353.9954022528195
2 2020-08-28 20,1208.811213599688
2 2020-08-28 21,1128.3473536614258
2 2020-08-28 22,1078.1607819040357
2 2020-08-28 23,1062.0307814251018
2 2020-08-29 00,1022.8822887777744
2 2020-08-29 01,1032.1644030817847
2 2020-08-29 02,1019.4786169053432
2 2020-08-29 03,1016.7409924145247
2 2020-08-29 04,997.8989717555733
2 2020-08-29 05,993.6217433734469
2 2020-08-29 06,1049.1238691199892
2 2020-08-29 07,1183.7328524698835
2 2020-08-29 08,1347.4774820962632
2 2020-08-29 09,1394.2564982264173
2 2020-08-29 10,1367.0265261144382
2 2020-08-29 11,1354.3164229068127
2 2020-08-29 12,1374.4741502944041
2 2020-08-29 13,1386.5534682454136
2 2020-08-29 14,1297.7187416203346
2 2020-08-29 15,1399.5406410607454
2 2020-08-29 16,1398.3018908927415
2 2020-08-29 17,1356.8408676001725
2 2020-08-29 18,1255.0236678146068
2 2020-08-29 19,1192.8473952686074
2 2020-08-29 20,1152.553607222015
2 2020-08-29 21,1108.3355253537086
2 2020-08-29 22,1060.9475056061444
2 2020-08-29 23,1056.6374060352018
2 2020-08-30 00,1012.8430181494625
2 2020-08-30 01,1006.363169568263
2 2020-08-30 02,1002.0994618027939
2 2020-08-30 03,1002.6493127111751
2 2020-08-30 04,999.4134987330563
2 2020-08-30 05,1002.6618404297378
2 2020-08-30 06,1017.4644988585012
2 2020-08-30 07,1104.5547307168497
2 2020-08-30 08,1184.1541870462968
2 2020-08-30 09,1121.53713586781
2 2020-08-30 10,1235.5992559778924
2 2020-08-30 11,1234.6283619381588
2 2020-08-30 12,1257.9480667540322
2 2020-08-30 13,1270.6510101777537
2 2020-08-30 14,1287.4882329670759
2 2020-08-30 15,1288.687860625118
2 2020-08-30 16,1267.0649339117504
2 2020-08-30 17,1126.831016312616
2 2020-08-30 18,1179.9175395993059
2 2020-08-30 19,1149.175663912244
2 2020-08-30 20,1115.8801951073472
2 2020-08-30 21,1087.853575004423
2 2020-08-30 22,1068.809232930037
2 2020-08-30 23,1071.7910910389426
