num_date_time,answer
1 2020-08-25 00,8669.822
1 2020-08-25 01,8649.119
1 2020-08-25 02,8672.432
1 2020-08-25 03,8667.997
1 2020-08-25 04,8626.016
1 2020-08-25 05,8584.565
1 2020-08-25 06,8587.909
1 2020-08-25 07,8632.928
1 2020-08-25 08,8648.788
1 2020-08-25 09,8695.691
1 2020-08-25 10,8700.92
1 2020-08-25 11,8697.902
1 2020-08-25 12,8700.814
1 2020-08-25 13,8741.362
1 2020-08-25 14,8758.421
1 2020-08-25 15,8756.053
1 2020-08-25 16,8758.46
1 2020-08-25 17,8741.689
1 2020-08-25 18,8734.863
1 2020-08-25 19,8731.251
1 2020-08-25 20,8722.486
1 2020-08-25 21,8684.436
1 2020-08-25 22,8706.064
1 2020-08-25 23,8692.425
1 2020-08-26 00,8700.713
1 2020-08-26 01,8658.041
1 2020-08-26 02,8656.263
1 2020-08-26 03,8655.451
1 2020-08-26 04,8641.3125
1 2020-08-26 05,8613.844
1 2020-08-26 06,8628.518
1 2020-08-26 07,8634.008
1 2020-08-26 08,8677.631
1 2020-08-26 09,8718.118
1 2020-08-26 10,8761.587
1 2020-08-26 11,8746.784
1 2020-08-26 12,8753.304
1 2020-08-26 13,8765.179
1 2020-08-26 14,8772.979
1 2020-08-26 15,8763.815
1 2020-08-26 16,8760.859
1 2020-08-26 17,8758.468
1 2020-08-26 18,8726.401
1 2020-08-26 19,8729.497
1 2020-08-26 20,8718.35
1 2020-08-26 21,8713.067
1 2020-08-26 22,8697.425
1 2020-08-26 23,8690.452
1 2020-08-27 00,8699.631
1 2020-08-27 01,8695.176
1 2020-08-27 02,8675.638
1 2020-08-27 03,8662.241
1 2020-08-27 04,8632.344
1 2020-08-27 05,8617.611
1 2020-08-27 06,8608.917
1 2020-08-27 07,8624.923
1 2020-08-27 08,8614.283
1 2020-08-27 09,8634.514
1 2020-08-27 10,8670.24
1 2020-08-27 11,8697.929
1 2020-08-27 12,8719.01
1 2020-08-27 13,8764.061
1 2020-08-27 14,8790.405
1 2020-08-27 15,8774.564
1 2020-08-27 16,8761.92
1 2020-08-27 17,8745.219
1 2020-08-27 18,8704.831
1 2020-08-27 19,8712.226
1 2020-08-27 20,8703.052
1 2020-08-27 21,8699.682
1 2020-08-27 22,8718.947
1 2020-08-27 23,8714.343
1 2020-08-28 00,8717.796
1 2020-08-28 01,8728.7295
1 2020-08-28 02,8702.907
1 2020-08-28 03,8664.716
1 2020-08-28 04,8630.572
1 2020-08-28 05,8622.88
1 2020-08-28 06,8608.135
1 2020-08-28 07,8640.03
1 2020-08-28 08,8640.411
1 2020-08-28 09,8711.341
1 2020-08-28 10,8723.578
1 2020-08-28 11,8742.721
1 2020-08-28 12,8785.195
1 2020-08-28 13,8787.05
1 2020-08-28 14,8802.193
1 2020-08-28 15,8775.536
1 2020-08-28 16,8765.027
1 2020-08-28 17,8763.158
1 2020-08-28 18,8740.727
1 2020-08-28 19,8723.749
1 2020-08-28 20,8719.427
1 2020-08-28 21,8716.496
1 2020-08-28 22,8669.122
1 2020-08-28 23,8666.161
1 2020-08-29 00,8689.706
1 2020-08-29 01,8718.621
1 2020-08-29 02,8720.54
1 2020-08-29 03,8673.9375
1 2020-08-29 04,8611.796
1 2020-08-29 05,8589.602
1 2020-08-29 06,8583.294
1 2020-08-29 07,8594.378
1 2020-08-29 08,8653.776
1 2020-08-29 09,8675.042
1 2020-08-29 10,8688.959
1 2020-08-29 11,8697.613
1 2020-08-29 12,8728.496
1 2020-08-29 13,8745.651
1 2020-08-29 14,8743.569
1 2020-08-29 15,8710.035
1 2020-08-29 16,8717.878
1 2020-08-29 17,8724.37
1 2020-08-29 18,8703.905
1 2020-08-29 19,8705.584
1 2020-08-29 20,8710.543
1 2020-08-29 21,8664.082
1 2020-08-29 22,8641.359
1 2020-08-29 23,8640.112
1 2020-08-30 00,8655.11
1 2020-08-30 01,8653.757
1 2020-08-30 02,8632.305
1 2020-08-30 03,8625.805
1 2020-08-30 04,8589.346
1 2020-08-30 05,8554.452
1 2020-08-30 06,8551.077
1 2020-08-30 07,8560.973
1 2020-08-30 08,8570.255
1 2020-08-30 09,8593.466
1 2020-08-30 10,8658.949
1 2020-08-30 11,8694.898
1 2020-08-30 12,8708.993
1 2020-08-30 13,8705.722
1 2020-08-30 14,8715.697
1 2020-08-30 15,8734.837
1 2020-08-30 16,8738.332
1 2020-08-30 17,8742.266
1 2020-08-30 18,8714.393
1 2020-08-30 19,8738.833
1 2020-08-30 20,8718.145
1 2020-08-30 21,8656.779
1 2020-08-30 22,8648.806
1 2020-08-30 23,8604.112
1 2020-08-31 00,8561.505
1 2020-08-31 01,8539.274
1 2020-08-31 02,8529.146
1 2020-08-31 03,8517.121
1 2020-08-31 04,8507.474
1 2020-08-31 05,8494.464
1 2020-08-31 06,8492.847
1 2020-08-31 07,8536.927
1 2020-08-31 08,8547.495
1 2020-08-31 09,8591.6875
1 2020-08-31 10,8648.005
1 2020-08-31 11,8673.107
1 2020-08-31 12,8691.959
1 2020-08-31 13,8724.182
1 2020-08-31 14,8736.902
1 2020-08-31 15,8739.152
1 2020-08-31 16,8742.265
1 2020-08-31 17,8739.152
1 2020-08-31 18,8714.438
1 2020-08-31 19,8704.699
1 2020-08-31 20,8682.917
1 2020-08-31 21,8688.256
1 2020-08-31 22,8699.535
1 2020-08-31 23,8691.521
2 2020-08-25 00,1114.2605
2 2020-08-25 01,1102.9094
2 2020-08-25 02,1100.5896
2 2020-08-25 03,1104.2089
2 2020-08-25 04,1088.9343
2 2020-08-25 05,1064.9304
2 2020-08-25 06,1168.0492
2 2020-08-25 07,1658.299
2 2020-08-25 08,2041.4138
2 2020-08-25 09,2116.129
2 2020-08-25 10,2098.6404
2 2020-08-25 11,2094.6025
2 2020-08-25 12,2095.463
2 2020-08-25 13,2082.6147
2 2020-08-25 14,2079.3682
2 2020-08-25 15,2069.9019
2 2020-08-25 16,1990.2708
2 2020-08-25 17,1846.2545
2 2020-08-25 18,1699.9346
2 2020-08-25 19,1393.6439
2 2020-08-25 20,1394.753
2 2020-08-25 21,1285.2401
2 2020-08-25 22,1225.6226
2 2020-08-25 23,1203.3756
2 2020-08-26 00,1110.2803
2 2020-08-26 01,1067.3285
2 2020-08-26 02,1068.5847
2 2020-08-26 03,1056.6948
2 2020-08-26 04,1125.9521
2 2020-08-26 05,1132.1335
2 2020-08-26 06,1219.6836
2 2020-08-26 07,1671.9417
2 2020-08-26 08,1972.8799
2 2020-08-26 09,2051.4744
2 2020-08-26 10,2047.6771
2 2020-08-26 11,1976.093
2 2020-08-26 12,2065.344
2 2020-08-26 13,2066.7158
2 2020-08-26 14,2065.7014
2 2020-08-26 15,2063.0476
2 2020-08-26 16,2013.2432
2 2020-08-26 17,1881.7554
2 2020-08-26 18,1591.1945
2 2020-08-26 19,1586.2839
2 2020-08-26 20,1336.8666
2 2020-08-26 21,1181.5048
2 2020-08-26 22,1128.3003
2 2020-08-26 23,1113.5323
2 2020-08-27 00,1077.0667
2 2020-08-27 01,1062.2057
2 2020-08-27 02,1038.1035
2 2020-08-27 03,1042.3811
2 2020-08-27 04,1036.2948
2 2020-08-27 05,1022.494
2 2020-08-27 06,1094.125
2 2020-08-27 07,1456.1979
2 2020-08-27 08,1737.2811
2 2020-08-27 09,1816.4033
2 2020-08-27 10,1850.2179
2 2020-08-27 11,1845.7966
2 2020-08-27 12,1953.1548
2 2020-08-27 13,1974.8135
2 2020-08-27 14,1947.0752
2 2020-08-27 15,1958.1224
2 2020-08-27 16,1950.8665
2 2020-08-27 17,1840.633
2 2020-08-27 18,1664.1556
2 2020-08-27 19,1323.6239
2 2020-08-27 20,1250.9839
2 2020-08-27 21,1168.1576
2 2020-08-27 22,1105.9772
2 2020-08-27 23,1076.2041
2 2020-08-28 00,1071.7151
2 2020-08-28 01,1059.2435
2 2020-08-28 02,1055.7181
2 2020-08-28 03,1052.8113
2 2020-08-28 04,1039.7201
2 2020-08-28 05,1052.578
2 2020-08-28 06,1150.9683
2 2020-08-28 07,1564.0791
2 2020-08-28 08,1884.0331
2 2020-08-28 09,1942.0707
2 2020-08-28 10,1937.0394
2 2020-08-28 11,1959.852
2 2020-08-28 12,1889.3428
2 2020-08-28 13,1981.6377
2 2020-08-28 14,1962.2961
2 2020-08-28 15,1966.1587
2 2020-08-28 16,1947.4785
